Year,Division,Category,Dance_Type,Team_Size,Is_Coed,Rank,Is_Champion,Is_Podium,Is_Top_10,Studio_Name,Team_Name,Country
2016,Open,Open Coed Pom,Pom,Standard,Yes,7,0,0,1,Champion Dance And Cheer,Champion Dance And Cheer,Scotland
2016,Open,Open Coed Pom,Pom,Standard,Yes,8,0,0,1,Team East China Normal University,Team East China Normal University,China
2016,Open,Open Coed Pom,Pom,Standard,Yes,9,0,0,1,Dreamtyme,Dreamtyme - Dreamelite,USA
2016,Open,Open Coed Pom,Pom,Standard,Yes,10,0,0,1,Abejas Salamanca,Abejas Salamanca,Mexico
2016,Open,Open Coed Pom,Pom,Standard,Yes,11,0,0,0,Shanghai Medical School,Shanghai Medical School,China
2016,Open,Open Coed Pom,Pom,Standard,Yes,12,0,0,0,Guangzhou Huadu Xinhua Middle School,Guangzhou Huadu Xinhua Middle School,China
2016,Open,Open Hip Hop,Hip Hop,Standard,No,1,1,1,1,Jordan Johnson Productions,Jordan Johnson Productions - Fly,USA
2016,Open,Open Hip Hop,Hip Hop,Standard,No,2,0,1,1,Champion Legacy,Champion Legacy,USA
2016,Open,Open Hip Hop,Hip Hop,Standard,No,3,0,1,1,Intros Allstars,Intros Allstars,Norway
2016,Open,Open Hip Hop,Hip Hop,Standard,No,4,0,0,1,Golden Hawks,Golden Hawks,Japan
2016,Open,Open Hip Hop,Hip Hop,Standard,No,5,0,0,1,Legendary Athletics North,Legendary Athletics,USA
2016,Open,Open Hip Hop,Hip Hop,Standard,No,6,0,0,1,Jump Dance Studio,Jump Dance Studio - Jump Cheercrew Elite,Norway
2016,Open,Open Hip Hop,Hip Hop,Standard,No,7,0,0,1,Ada,Ada - Shadows,England
2016,Open,Open Hip Hop,Hip Hop,Standard,No,8,0,0,1,Dancers Edge,Dancers Edge - De.3,Australia
2016,Open,Open Hip Hop,Hip Hop,Standard,No,9,0,0,1,Champion Dance And Cheer,Champion Dance And Cheer,Scotland
2016,Open,Open Hip Hop,Hip Hop,Standard,No,10,0,0,1,Oblivion Allstars,Oblivion Allstars - Storm,England
2016,Open,Open Hip Hop,Hip Hop,Standard,No,11,0,0,0,Union Dance Rancaqua,Union Dance Rancaqua,Chile
2016,Open,Open Hip Hop,Hip Hop,Standard,No,12,0,0,0,La Dance And Cheer,La Dance And Cheer,Scotland
2016,Open,Open Hip Hop,Hip Hop,Standard,No,13,0,0,0,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - We Rock You,Ecuador
2016,Open,Open Hip Hop,Hip Hop,Standard,No,14,0,0,0,Deakin University,Deakin University - Onyx,Australia
2016,Open,Open Hip Hop,Hip Hop,Standard,No,15,0,0,0,Asc Siegen,Asc Siegen - Coronette Dancers,Germany
2016,Open,Open Jazz,Jazz,Standard,No,1,1,1,1,The Vision Dance Center,The Vision Dance Center,USA
2016,Open,Open Jazz,Jazz,Standard,No,2,0,1,1,Dancin Bluebonnets,Dancin' Bluebonnets,USA
2016,Open,Open Jazz,Jazz,Standard,No,3,0,1,1,Dance Dynamics,Dance Dynamics,USA
2016,Open,Open Jazz,Jazz,Standard,No,4,0,0,1,Golden Hawks,Golden Hawks,Japan
2016,Open,Open Jazz,Jazz,Standard,No,5,0,0,1,Wing Dance Promotion,Wing Dance Promotion,Japan
2016,Open,Open Jazz,Jazz,Standard,No,6,0,0,1,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Turn To Stone,Ecuador
2016,Open,Open Jazz,Jazz,Standard,No,7,0,0,1,Team East China Normal University,Team East China Normal University,China
2016,Open,Open Jazz,Jazz,Standard,No,8,0,0,1,Sa Academy,Sa Academy,England
2016,Open,Open Jazz,Jazz,Standard,No,9,0,0,1,Cheertastic Dance And Cheerleading,Cheertastic Dance And Cheerleading - Dream Stars,USA
2016,Open,Open Jazz,Jazz,Standard,No,10,0,0,1,Dsf Brilliants,Dsf Brilliants,Japan
2016,Open,Open Jazz,Jazz,Standard,No,11,0,0,0,Brisbane School Of Dance,Brisbane School Of Dance - Ultimate Uproar,Scotland
2016,Open,Open Jazz,Jazz,Standard,No,12,0,0,0,Top Dance Studio,Top Dance Studio,USA
2016,Open,Open Jazz,Jazz,Standard,No,13,0,0,0,Union Dance Rancaqua,Union Dance Rancaqua,Chile
2016,Open,Open Jazz,Jazz,Standard,No,14,0,0,0,Jc Dance And Cheer Academy,Jc Dance And Cheer Academy - Glitter White,Scotland
2016,Open,Open Jazz,Jazz,Standard,No,15,0,0,0,Team Ukraine,Ukraine,Ukraine
2016,Open,Open Jazz,Jazz,Standard,No,16,0,0,0,Msv 90 E V,Msv 90 E V - Guardian Angels,Germany
2016,Open,Open Jazz,Jazz,Standard,No,17,0,0,0,Fever Cheerdance,Fever Cheerdance,France
2016,Open,Open Male Hip Hop,Hip Hop,Standard,No,1,1,1,1,Jordan Johnson Productions,Jordan Johnson Productions - Crew,USA
2016,Open,Open Male Hip Hop,Hip Hop,Standard,No,2,0,1,1,Misfit Dance Co,Misfit Dance Company - The Fraternity,France
2016,Open,Open Male Hip Hop,Hip Hop,Standard,No,3,0,1,1,Chinese Taipei Cheerleading Assoc,Chinese Taipei Cheerleading Assoc,Taiwan
2016,Open,Open Male Hip Hop,Hip Hop,Standard,No,4,0,0,1,Team Puerto Rico,Team Puerto Rico,Puerto Rico
2016,Open,Open Male Hip Hop,Hip Hop,Standard,No,5,0,0,1,Adrenaline All Stars,Adrenaline All Stars - Rush Crew,USA
2016,Open,Open Male Hip Hop,Hip Hop,Standard,No,6,0,0,1,Tanz Regens,Tanz Regens - Hop Regens,Ecuador
2016,Open,Open Pom,Pom,Standard,No,1,1,1,1,Energizers Dance Team,Energizers Dance Team,USA
